-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     925.854ms       342.88%     925.854ms     102.873ms           0 B           0 B           0 B           0 B             9  
                                       vllm::all_reduce         4.66%      49.214ms         8.28%      87.394ms     153.323us     223.642ms        82.82%     223.642ms     392.354us           0 B           0 B       8.18 MB           0 B           570  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     223.642ms        82.82%     223.642ms     392.354us           0 B           0 B           0 B           0 B           570  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      95.878ms        35.51%      95.878ms      95.878ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         3.82%      40.314ms         5.38%      56.724ms      66.734us      25.223ms         9.34%      25.294ms      29.758us           0 B           0 B      19.39 MB      19.39 MB           850  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      11.885ms         4.40%      11.885ms      47.165us           0 B           0 B           0 B           0 B           252  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       7.020ms         2.60%       7.020ms      25.072us           0 B           0 B           0 B           0 B           280  
                                     record_param_comms         0.12%       1.266ms         0.14%       1.519ms     151.905us       6.142ms         2.27%       6.142ms     614.199us           0 B           0 B           0 B           0 B            10  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       6.142ms         2.27%       6.142ms     614.199us           0 B           0 B           0 B           0 B            10  
