-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     933.075ms       128.80%     933.075ms     103.675ms           0 B           0 B           0 B           0 B             9  
                                       vllm::all_reduce         4.51%      47.481ms         8.27%      87.081ms     152.775us     678.108ms        93.61%     678.108ms       1.190ms           0 B           0 B       8.18 MB           0 B           570  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     678.108ms        93.61%     678.108ms       1.190ms           0 B           0 B           0 B           0 B           570  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     100.744ms        13.91%     100.744ms     100.744ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         3.76%      39.552ms         5.34%      56.246ms      66.172us      25.242ms         3.48%      25.313ms      29.780us           0 B           0 B      19.39 MB      19.39 MB           850  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      11.898ms         1.64%      11.898ms      47.213us           0 B           0 B           0 B           0 B           252  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       7.024ms         0.97%       7.024ms      25.084us           0 B           0 B           0 B           0 B           280  
                                     record_param_comms         0.11%       1.178ms         0.13%       1.388ms     138.815us       5.983ms         0.83%       5.983ms     598.307us           0 B           0 B           0 B           0 B            10  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       5.983ms         0.83%       5.983ms     598.307us           0 B           0 B           0 B           0 B            10  
