-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        7.214s       622.70%        7.214s      97.480ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.75%     356.658ms         8.81%     661.815ms     154.811us     849.105ms        73.30%     849.108ms     198.622us           0 B           0 B      33.51 MB           0 B          4275  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     849.105ms        73.30%     849.105ms     198.621us           0 B           0 B           0 B           0 B          4275  
                                               aten::mm         4.38%     328.719ms         5.51%     413.962ms      64.935us     187.684ms        16.20%     187.828ms      29.463us           0 B           0 B      81.88 MB      81.88 MB          6375  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.242ms         9.08%     105.242ms     105.242ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      98.157ms         8.47%      98.157ms      47.373us           0 B           0 B           0 B           0 B          2072  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      55.799ms         4.82%      55.799ms      26.571us           0 B           0 B           0 B           0 B          2100  
                                            aten::addmm         2.07%     155.233ms         4.06%     304.728ms     145.109us      26.509ms         2.29%      26.716ms      12.722us           0 B           0 B       5.80 MB       5.80 MB          2100  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      21.573ms         1.86%      21.573ms      10.412us           0 B           0 B           0 B           0 B          2072  
