-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        7.375s       100.12%        7.375s      99.665ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.75%     353.139ms         8.85%     657.801ms     153.872us        7.019s        95.28%        7.019s       1.642ms           0 B           0 B      33.51 MB           0 B          4275  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        7.019s        95.28%        7.019s       1.642ms           0 B           0 B           0 B           0 B          4275  
                                               aten::mm         4.41%     328.126ms         5.57%     413.998ms      64.941us     187.295ms         2.54%     187.389ms      29.394us           0 B           0 B      81.88 MB      81.88 MB          6375  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     107.494ms         1.46%     107.494ms     107.494ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      97.781ms         1.33%      97.781ms      47.192us           0 B           0 B           0 B           0 B          2072  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      55.914ms         0.76%      55.914ms      26.626us           0 B           0 B           0 B           0 B          2100  
                                     record_param_comms         0.11%       8.304ms         0.15%      11.187ms     149.155us      47.400ms         0.64%      48.027ms     640.357us           0 B           0 B           0 B           0 B            75  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      47.400ms         0.64%      47.400ms     631.997us           0 B           0 B           0 B           0 B            75  
