-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       14.147s       654.31%       14.147s     288.706ms           0 B           0 B           0 B           0 B            49  
                                               aten::mm         4.68%     681.112ms         6.04%     878.535ms      72.907us        1.064s        49.21%        1.064s      88.317us           0 B           0 B     294.22 MB     294.22 MB         12050  
                                       vllm::all_reduce         4.89%     710.976ms         9.01%        1.311s     162.898us     797.735ms        36.90%     797.746ms      99.099us           0 B           0 B     153.45 MB           0 B          8050  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     797.735ms        36.90%     797.735ms      99.097us           0 B           0 B           0 B           0 B          8050  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     642.449ms        29.71%     642.449ms     155.557us           0 B           0 B           0 B           0 B          4130  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     309.731ms        14.33%     309.731ms      79.013us           0 B           0 B           0 B           0 B          3920  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     258.142ms        11.94%     258.142ms     258.142ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.20%     320.242ms         4.31%     627.366ms     156.841us     142.598ms         6.60%     142.722ms      35.680us           0 B           0 B      23.83 MB      23.83 MB          4000  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     116.996ms         5.41%     116.996ms      29.846us           0 B           0 B           0 B           0 B          3920  
