-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       14.264s       105.13%       14.264s     291.112ms           0 B           0 B           0 B           0 B            49  
                                       vllm::all_reduce         4.74%     688.947ms         8.79%        1.279s     158.852us       12.190s        89.84%       12.194s       1.515ms           0 B           0 B     153.45 MB           0 B          8050  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       12.190s        89.84%       12.190s       1.514ms           0 B           0 B           0 B           0 B          8050  
                                               aten::mm         4.49%     652.866ms         6.06%     881.246ms      73.132us        1.057s         7.79%        1.057s      87.737us           0 B           0 B     294.22 MB     294.20 MB         12050  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     634.001ms         4.67%     634.001ms     153.511us           0 B           0 B           0 B           0 B          4130  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     309.811ms         2.28%     309.811ms      79.033us           0 B           0 B           0 B           0 B          3920  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     262.354ms         1.93%     262.354ms     262.354ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.15%     313.239ms         4.21%     612.379ms     153.095us     141.497ms         1.04%     141.532ms      35.383us           0 B           0 B      23.83 MB      23.82 MB          4000  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     116.131ms         0.86%     116.131ms      29.625us           0 B           0 B           0 B           0 B          3920  
