-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       15.002s       100.42%       15.002s     120.985ms           0 B           0 B           0 B           0 B           124  
                                       vllm::all_reduce         3.92%     571.752ms         7.31%        1.065s     149.455us       14.355s        96.08%       14.365s       2.016ms           0 B           0 B      52.99 MB      -7.00 KB          7125  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       14.355s        96.08%       14.355s       2.015ms           0 B           0 B           0 B           0 B          7125  
                                               aten::mm         3.64%     530.283ms         4.57%     665.617ms      62.646us     311.888ms         2.09%     312.026ms      29.367us           0 B           0 B     129.95 MB     129.92 MB         10625  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     164.082ms         1.10%     164.082ms      47.259us           0 B           0 B           0 B           0 B          3472  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     104.042ms         0.70%     104.042ms     104.042ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      93.254ms         0.62%      93.254ms      26.644us           0 B           0 B           0 B           0 B          3500  
                                     record_param_comms         0.09%      13.173ms         0.11%      15.769ms     126.152us      85.211ms         0.57%      85.211ms     681.690us           0 B           0 B           0 B           0 B           125  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      85.211ms         0.57%      85.211ms     681.690us           0 B           0 B           0 B           0 B           125  
