-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       14.699s      1704.10%       14.699s     118.540ms           0 B           0 B           0 B           0 B           124  
                                       vllm::all_reduce         4.02%     609.164ms         7.42%        1.124s     157.790us     357.778ms        41.48%     357.843ms      50.224us           0 B           0 B      52.99 MB           0 B          7125  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     357.778ms        41.48%     357.778ms      50.214us           0 B           0 B           0 B           0 B          7125  
                                               aten::mm         3.71%     562.318ms         4.64%     702.908ms      66.156us     312.013ms        36.17%     312.091ms      29.373us           0 B           0 B     129.95 MB     129.95 MB         10625  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     163.834ms        18.99%     163.834ms      47.187us           0 B           0 B           0 B           0 B          3472  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.983ms        12.29%     105.983ms     105.983ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      93.576ms        10.85%      93.576ms      26.736us           0 B           0 B           0 B           0 B          3500  
                                            aten::addmm         1.75%     265.689ms         3.41%     515.842ms     147.383us      43.911ms         5.09%      43.953ms      12.558us           0 B           0 B       9.21 MB       9.21 MB          3500  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      35.967ms         4.17%      35.967ms      10.359us           0 B           0 B           0 B           0 B          3472  
