-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       14.997s       101.40%       14.997s     120.942ms           0 B           0 B           0 B           0 B           124  
                                       vllm::all_reduce         4.04%     611.487ms         7.41%        1.122s     157.542us       14.207s        96.06%       14.208s       1.994ms           0 B           0 B      52.99 MB           0 B          7125  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       14.207s        96.06%       14.207s       1.994ms           0 B           0 B           0 B           0 B          7125  
                                               aten::mm        20.21%        3.060s        21.19%        3.208s     301.934us     312.019ms         2.11%     312.263ms      29.389us           0 B           0 B     129.95 MB     129.93 MB         10625  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     163.843ms         1.11%     163.843ms      47.190us           0 B           0 B           0 B           0 B          3472  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.543ms         0.71%     105.543ms     105.543ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      93.540ms         0.63%      93.540ms      26.726us           0 B           0 B           0 B           0 B          3500  
                                     record_param_comms         0.09%      14.094ms         0.12%      18.035ms     144.283us      82.413ms         0.56%      82.413ms     659.301us           0 B           0 B           0 B           0 B           125  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      82.413ms         0.56%      82.413ms     659.301us           0 B           0 B           0 B           0 B           125  
