-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.532s        94.42%        2.532s     281.364ms           0 B           0 B           0 B           0 B             9  
                                       vllm::all_reduce         5.03%     137.401ms         9.07%     247.536ms     153.749us        2.396s        89.35%        2.396s       1.488ms           0 B           0 B      52.83 MB           0 B          1610  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        2.396s        89.35%        2.396s       1.488ms           0 B           0 B           0 B           0 B          1610  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     243.431ms         9.08%     243.431ms     243.431ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.67%     127.526ms         6.22%     169.726ms      70.426us     212.456ms         7.92%     212.630ms      88.228us           0 B           0 B     100.69 MB     100.69 MB          2410  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     128.930ms         4.81%     128.930ms     144.865us           0 B           0 B           0 B           0 B           890  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      56.887ms         2.12%      56.887ms      79.010us           0 B           0 B           0 B           0 B           720  
                                            aten::addmm         2.15%      58.594ms         4.05%     110.626ms     138.283us      28.560ms         1.06%      28.564ms      35.705us           0 B           0 B       8.20 MB       8.20 MB           800  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      25.080ms         0.94%      25.080ms      31.350us           0 B           0 B           0 B           0 B           800  
