-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        5.414s       238.31%        5.414s     225.592ms           0 B           0 B           0 B           0 B            24  
                                       vllm::all_reduce         4.85%     275.599ms         8.96%     508.850ms     157.783us        1.917s        84.37%        1.917s     594.385us           0 B           0 B      45.35 MB           0 B          3225  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.917s        84.37%        1.917s     594.379us           0 B           0 B           0 B           0 B          3225  
                                               aten::mm         4.78%     271.538ms         6.44%     365.722ms      75.797us     251.610ms        11.07%     251.994ms      52.227us           0 B           0 B     107.57 MB     107.54 MB          4825  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     207.990ms         9.15%     207.990ms     207.990ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     141.039ms         6.21%     141.039ms      91.822us           0 B           0 B           0 B           0 B          1536  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      77.631ms         3.42%      77.631ms      46.653us           0 B           0 B           0 B           0 B          1664  
                                            aten::addmm         2.11%     120.053ms         4.13%     234.638ms     146.649us      40.395ms         1.78%      40.451ms      25.282us           0 B           0 B       7.88 MB       7.88 MB          1600  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      35.628ms         1.57%      35.628ms      23.195us           0 B           0 B           0 B           0 B          1536  
