-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.000s        95.85%        2.000s     222.272ms           0 B           0 B           0 B           0 B             9  
                                       vllm::all_reduce         4.70%     103.537ms         8.47%     186.674ms     144.709us        1.934s        92.65%        1.934s       1.499ms           0 B           0 B      26.46 MB           0 B          1290  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.934s        92.65%        1.934s       1.499ms           0 B           0 B           0 B           0 B          1290  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     190.457ms         9.13%     190.457ms     190.457ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.47%      98.483ms         6.59%     145.140ms      75.202us     100.961ms         4.84%     101.208ms      52.439us           0 B           0 B      62.42 MB      62.42 MB          1930  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      52.721ms         2.53%      52.721ms      91.529us           0 B           0 B           0 B           0 B           576  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      31.628ms         1.52%      31.628ms      44.925us           0 B           0 B           0 B           0 B           704  
                                            aten::addmm         1.95%      42.945ms         4.38%      96.559ms     150.874us      16.100ms         0.77%      16.150ms      25.235us           0 B           0 B       4.59 MB       4.59 MB           640  
                                     record_param_comms         0.06%       1.286ms         0.07%       1.510ms     151.014us      13.631ms         0.65%      13.631ms       1.363ms           0 B           0 B           0 B           0 B            10  
