-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.992s       108.11%        1.992s     221.364ms           0 B           0 B           0 B           0 B             9  
                                       vllm::all_reduce         4.90%     106.586ms         8.83%     192.133ms     148.940us        1.698s        92.11%        1.698s       1.316ms           0 B           0 B      26.46 MB           0 B          1290  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.698s        92.11%        1.698s       1.316ms           0 B           0 B           0 B           0 B          1290  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     197.485ms        10.72%     197.485ms     197.485ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.62%     100.487ms         6.83%     148.635ms      77.013us     100.960ms         5.48%     101.208ms      52.440us           0 B           0 B      62.42 MB      62.42 MB          1930  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      52.693ms         2.86%      52.693ms      91.482us           0 B           0 B           0 B           0 B           576  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      31.619ms         1.72%      31.619ms      44.913us           0 B           0 B           0 B           0 B           704  
                                            aten::addmm         2.03%      44.233ms         4.08%      88.650ms     138.516us      16.082ms         0.87%      16.131ms      25.204us           0 B           0 B       4.59 MB       4.59 MB           640  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      13.355ms         0.72%      13.355ms      23.186us           0 B           0 B           0 B           0 B           576  
