-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     919.808ms       130.40%     919.808ms     102.201ms           0 B           0 B           0 B           0 B             9  
                               _C_custom_ar::all_reduce         1.28%      13.307ms         2.59%      27.015ms      47.395us     637.171ms        90.33%     637.171ms       1.118ms           0 B           0 B           0 B           0 B           570  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us     636.023ms        90.17%     636.023ms       1.116ms           0 B           0 B           0 B           0 B           570  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     103.569ms        14.68%     103.569ms     103.569ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.13%      43.100ms         6.22%      64.862ms      76.309us      47.278ms         6.70%      47.539ms      55.928us           0 B           0 B      30.74 MB      30.74 MB           850  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      22.290ms         3.16%      22.290ms      88.451us           0 B           0 B           0 B           0 B           252  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      14.516ms         2.06%      14.516ms      55.406us           0 B           0 B           0 B           0 B           262  
                                            aten::addmm         1.87%      19.478ms         4.08%      42.538ms     151.920us       5.629ms         0.80%       5.689ms      20.319us           0 B           0 B       2.58 MB       2.58 MB           280  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       4.575ms         0.65%       4.575ms      18.153us           0 B           0 B           0 B           0 B           252  
