-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       12.656s        99.55%       12.656s     171.030ms           0 B           0 B           0 B           0 B            74  
                               _C_custom_ar::all_reduce         1.37%     192.593ms         2.67%     374.940ms      51.538us       11.795s        92.78%       11.795s       1.621ms           0 B           0 B           0 B           0 B          7275  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us       11.780s        92.66%       11.780s       1.619ms           0 B           0 B           0 B           0 B          7275  
                                               aten::mm         4.05%     568.051ms         5.36%     751.765ms      69.128us     615.325ms         4.84%     615.810ms      56.626us           0 B           0 B     200.35 MB     200.35 MB         10875  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     350.176ms         2.75%     350.176ms      32.568us           0 B           0 B           0 B           0 B         10752  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     325.328ms         2.56%     325.328ms      91.590us           0 B           0 B           0 B           0 B          3552  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     161.719ms         1.27%     161.719ms     161.719ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         1.86%     261.078ms         3.55%     497.792ms     138.276us     113.347ms         0.89%     113.351ms      31.486us           0 B           0 B      28.22 MB      28.22 MB          3600  
                                     record_param_comms         0.06%       8.957ms         0.08%      10.684ms     142.448us      49.954ms         0.39%      49.954ms     666.047us           0 B           0 B           0 B           0 B            75  
