-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.935s       726.39%        1.935s      80.645ms           0 B           0 B           0 B           0 B            24  
                                               aten::mm         5.10%     105.208ms         7.02%     144.803ms      68.143us     215.701ms        80.95%     215.967ms     101.632us           0 B           0 B      93.88 MB      93.88 MB          2125  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     113.189ms        42.48%     113.189ms     168.436us           0 B           0 B           0 B           0 B           672  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      92.679ms        34.78%      92.679ms      45.972us           0 B           0 B           0 B           0 B          2016  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      84.378ms        31.67%      84.378ms      84.378ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      20.369ms         7.64%      20.369ms     384.328us           0 B           0 B           0 B           0 B            53  
                                            aten::addmm         2.30%      47.553ms         4.37%      90.125ms     128.750us      19.622ms         7.36%      19.622ms      28.031us           0 B           0 B       8.86 MB       8.86 MB           700  
                                _vllm_fa2_C::varlen_fwd         4.12%      85.042ms        17.15%     353.906ms     505.580us       5.977ms         2.24%       7.308ms      10.440us           0 B           0 B     378.00 KB      -4.59 MB           700  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       5.680ms         2.13%       5.680ms       8.452us           0 B           0 B           0 B           0 B           672  
