-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       10.959s      1291.62%       10.959s     223.663ms           0 B           0 B           0 B           0 B            49  
                                               aten::mm         4.74%     536.397ms         6.28%     710.145ms      73.590us     500.729ms        59.01%     501.012ms      51.918us           0 B           0 B     182.83 MB     182.83 MB          9650  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     286.887ms        33.81%     286.887ms      91.482us           0 B           0 B           0 B           0 B          3136  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     206.317ms        24.32%     206.317ms     206.317ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     154.100ms        18.16%     154.100ms      47.212us           0 B           0 B           0 B           0 B          3264  
                                       vllm::all_reduce         4.77%     539.579ms         8.85%        1.002s     155.285us     152.040ms        17.92%     152.203ms      23.597us           0 B           0 B      76.85 MB           0 B          6450  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     152.040ms        17.92%     152.040ms      23.572us           0 B           0 B           0 B           0 B          6450  
                                            aten::addmm         2.13%     240.491ms         4.11%     465.469ms     145.459us      80.955ms         9.54%      81.005ms      25.314us           0 B           0 B      13.34 MB      13.34 MB          3200  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      72.734ms         8.57%      72.734ms      23.193us           0 B           0 B           0 B           0 B          3136  
