-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       11.097s        99.49%       11.097s     226.474ms           0 B           0 B           0 B           0 B            49  
                                       vllm::all_reduce         4.49%     498.553ms         8.40%     931.611ms     144.436us       10.413s        93.35%       10.414s       1.615ms           0 B           0 B      76.85 MB           0 B          6450  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       10.413s        93.35%       10.413s       1.614ms           0 B           0 B           0 B           0 B          6450  
                                               aten::mm         4.52%     501.987ms         9.36%        1.038s     107.615us     503.471ms         4.51%     503.807ms      52.208us           0 B           0 B     182.83 MB     182.83 MB          9650  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     287.986ms         2.58%     287.986ms      91.832us           0 B           0 B           0 B           0 B          3136  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     198.328ms         1.78%     198.328ms     198.328ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     154.237ms         1.38%     154.237ms      47.254us           0 B           0 B           0 B           0 B          3264  
                                            aten::addmm         2.01%     223.395ms         4.46%     494.832ms     154.635us      81.049ms         0.73%      81.100ms      25.344us           0 B           0 B      13.34 MB      13.34 MB          3200  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      72.844ms         0.65%      72.844ms      23.228us           0 B           0 B           0 B           0 B          3136  
