-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.511s       811.48%        1.511s     167.930ms           0 B           0 B           0 B           0 B             9  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     152.890ms        82.09%     152.890ms     152.890ms           0 B           0 B           0 B           0 B             1  
                                       vllm::all_reduce         4.89%      83.051ms         8.74%     148.427ms     153.018us     113.244ms        60.80%     113.244ms     116.747us           0 B           0 B      19.89 MB           0 B           970  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     113.244ms        60.80%     113.244ms     116.747us           0 B           0 B           0 B           0 B           970  
                                               aten::mm         4.41%      74.881ms         6.34%     107.668ms      74.253us      43.309ms        23.25%      43.334ms      29.885us           0 B           0 B      33.70 MB      33.70 MB          1450  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      25.138ms        13.50%      25.138ms      29.095us           0 B           0 B           0 B           0 B           864  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      13.429ms         7.21%      13.429ms      25.434us           0 B           0 B           0 B           0 B           528  
                                            aten::addmm         2.03%      34.429ms         4.14%      70.334ms     146.530us      12.018ms         6.45%      12.068ms      25.141us           0 B           0 B       3.45 MB       3.45 MB           480  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       9.981ms         5.36%       9.981ms      23.105us           0 B           0 B           0 B           0 B           432  
