-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       17.086s       686.85%       17.086s     121.179ms           0 B           0 B           0 B           0 B           141  
                                       vllm::all_reduce         3.88%     680.428ms        25.80%        4.524s     558.914us        1.900s        76.37%        1.900s     234.709us           0 B           0 B      59.62 MB           0 B          8094  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.900s        76.37%        1.900s     234.709us           0 B           0 B           0 B           0 B          8094  
                                               aten::mm         3.70%     648.025ms         4.57%     801.711ms      66.422us     355.016ms        14.27%     357.582ms      29.626us           0 B           0 B     146.30 MB     146.26 MB         12070  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     186.980ms         7.52%     186.980ms      47.361us           0 B           0 B           0 B           0 B          3948  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     106.084ms         4.26%     106.084ms      26.681us           0 B           0 B           0 B           0 B          3976  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     104.717ms         4.21%     104.717ms     104.717ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         1.71%     299.640ms         3.31%     581.133ms     146.160us      50.039ms         2.01%      50.092ms      12.598us           0 B           0 B      10.38 MB      10.38 MB          3976  
                                _vllm_fa2_C::varlen_fwd         3.07%     537.364ms        12.30%        2.157s     542.587us      41.238ms         1.66%      48.203ms      12.123us           0 B           0 B       1.94 MB     -12.84 MB          3976  
