-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       17.333s       112.57%       17.333s     122.929ms           0 B           0 B           0 B           0 B           141  
                                       vllm::all_reduce         3.91%     684.526ms         7.23%        1.265s     156.333us       14.745s        95.77%       14.745s       1.822ms           0 B           0 B      59.62 MB           0 B          8094  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       14.745s        95.77%       14.745s       1.822ms           0 B           0 B           0 B           0 B          8094  
                                               aten::mm         3.61%     632.450ms         4.51%     789.906ms      65.444us     354.255ms         2.30%     356.884ms      29.568us           0 B           0 B     146.30 MB     146.28 MB         12070  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     186.219ms         1.21%     186.219ms      47.168us           0 B           0 B           0 B           0 B          3948  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.959ms         0.69%     106.959ms     106.959ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     106.292ms         0.69%     106.292ms      26.733us           0 B           0 B           0 B           0 B          3976  
                                     record_param_comms         0.09%      15.191ms         0.10%      18.233ms     128.400us      80.487ms         0.52%      80.487ms     566.810us           0 B           0 B           0 B           0 B           142  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      80.487ms         0.52%      80.487ms     566.810us           0 B           0 B           0 B           0 B           142  
