-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        4.014s       214.51%        4.014s     167.270ms           0 B           0 B           0 B           0 B            24  
                               _C_custom_ar::all_reduce         1.51%      63.803ms         2.90%     122.431ms      50.487us        1.574s        84.11%        1.574s     649.080us           0 B           0 B           0 B           0 B          2425  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us        1.569s        83.84%        1.569s     647.018us           0 B           0 B           0 B           0 B          2425  
                                               aten::mm         4.49%     189.618ms         5.94%     250.815ms      69.190us     205.249ms        10.97%     205.498ms      56.689us           0 B           0 B      82.94 MB      82.94 MB          3625  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     160.978ms         8.60%     160.978ms     160.978ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     115.896ms         6.19%     115.896ms      32.628us           0 B           0 B           0 B           0 B          3552  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     105.516ms         5.64%     105.516ms      91.594us           0 B           0 B           0 B           0 B          1152  
                                            aten::addmm         2.02%      85.282ms         3.80%     160.593ms     133.827us      37.850ms         2.02%      37.850ms      31.542us           0 B           0 B      11.81 MB      11.81 MB          1200  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      11.388ms         0.61%      11.388ms     455.532us           0 B           0 B           0 B           0 B            25  
