-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       20.016s      1352.38%       20.016s     169.627ms           0 B           0 B           0 B           0 B           118  
                                               aten::mm         4.64%     949.289ms         6.00%        1.228s      71.186us     973.748ms        65.79%     974.229ms      56.461us           0 B           0 B     303.66 MB     303.65 MB         17255  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     556.654ms        37.61%     556.654ms      32.576us           0 B           0 B           0 B           0 B         17088  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     518.171ms        35.01%     518.171ms      91.485us           0 B           0 B           0 B           0 B          5664  
                                            aten::addmm         2.14%     437.269ms         3.99%     816.925ms     143.019us     179.798ms        12.15%     179.798ms      31.477us           0 B           0 B      42.66 MB      42.66 MB          5712  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     162.068ms        10.95%     162.068ms     162.068ms           0 B           0 B           0 B           0 B             1  
                               _C_custom_ar::all_reduce         1.56%     318.593ms         2.98%     608.917ms      52.752us     106.883ms         7.22%     106.891ms       9.260us           0 B           0 B           0 B           0 B         11543  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us      83.284ms         5.63%      83.284ms       7.215us           0 B           0 B           0 B           0 B         11543  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      54.314ms         3.67%      54.314ms     456.423us           0 B           0 B           0 B           0 B           119  
