-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       24.584s       104.27%       24.584s     332.215ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.11%        1.021s         7.65%        1.901s     157.467us       21.510s        91.23%       21.511s       1.781ms           0 B           0 B     216.34 MB           0 B         12075  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       21.510s        91.23%       21.510s       1.781ms           0 B           0 B           0 B           0 B         12075  
                                               aten::mm         3.96%     983.582ms         5.35%        1.330s      73.581us        1.585s         6.72%        1.586s      87.720us           0 B           0 B     415.18 MB     415.17 MB         18075  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     949.947ms         4.03%     949.947ms     154.337us           0 B           0 B           0 B           0 B          6155  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     467.919ms         1.98%     467.919ms      79.040us           0 B           0 B           0 B           0 B          5920  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     260.056ms         1.10%     260.056ms     260.056ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         1.99%     494.794ms         3.81%     946.174ms     157.696us     212.088ms         0.90%     212.158ms      35.360us           0 B           0 B      33.59 MB      33.59 MB          6000  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     175.383ms         0.74%     175.383ms      29.625us           0 B           0 B           0 B           0 B          5920  
