-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        4.249s        98.55%        4.249s     177.053ms           0 B           0 B           0 B           0 B            24  
                                       vllm::all_reduce         4.68%     200.815ms         8.71%     373.438ms     153.995us        4.104s        95.19%        4.104s       1.693ms           0 B           0 B      34.10 MB           0 B          2425  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        4.104s        95.19%        4.104s       1.693ms           0 B           0 B           0 B           0 B          2425  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     164.023ms         3.80%     164.023ms     164.023ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.54%     194.508ms         6.02%     257.984ms      71.168us     107.317ms         2.49%     107.372ms      29.620us           0 B           0 B      58.35 MB      58.35 MB          3625  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us      66.720ms         1.55%      66.720ms      28.958us           0 B           0 B           0 B           0 B          2304  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      32.389ms         0.75%      32.389ms      25.953us           0 B           0 B           0 B           0 B          1248  
                                            aten::addmm         2.08%      88.995ms         4.52%     193.851ms     161.543us      30.248ms         0.70%      30.297ms      25.248us           0 B           0 B       5.91 MB       5.91 MB          1200  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      26.689ms         0.62%      26.689ms      23.167us           0 B           0 B           0 B           0 B          1152  
