-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        9.639s       281.37%        9.639s      97.368ms           0 B           0 B           0 B           0 B            99  
                                       vllm::all_reduce         4.71%     468.323ms         8.74%     869.448ms     152.535us        3.002s        87.63%        3.002s     526.712us           0 B           0 B      43.25 MB           0 B          5700  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.002s        87.63%        3.002s     526.702us           0 B           0 B           0 B           0 B          5700  
                                               aten::mm         4.39%     436.615ms         5.50%     546.692ms      64.317us     249.723ms         7.29%     249.798ms      29.388us           0 B           0 B     105.92 MB     105.90 MB          8500  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     130.807ms         3.82%     130.807ms      47.189us           0 B           0 B           0 B           0 B          2772  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     102.976ms         3.01%     102.976ms     102.976ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      74.773ms         2.18%      74.773ms      26.705us           0 B           0 B           0 B           0 B          2800  
                                            aten::addmm         2.11%     209.503ms         4.05%     402.643ms     143.801us      35.209ms         1.03%      35.234ms      12.583us           0 B           0 B       7.51 MB       7.51 MB          2800  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      28.755ms         0.84%      28.755ms      10.373us           0 B           0 B           0 B           0 B          2772  
