-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        9.740s       138.96%        9.740s      98.381ms           0 B           0 B           0 B           0 B            99  
                                       vllm::all_reduce         4.72%     469.290ms         8.77%     871.651ms     152.921us        6.563s        93.64%        6.563s       1.151ms           0 B           0 B      43.25 MB           0 B          5700  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        6.563s        93.64%        6.563s       1.151ms           0 B           0 B           0 B           0 B          5700  
                                               aten::mm         4.41%     438.464ms         5.54%     550.225ms      64.732us     250.022ms         3.57%     250.126ms      29.427us           0 B           0 B     105.92 MB     105.87 MB          8500  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     131.347ms         1.87%     131.347ms      47.383us           0 B           0 B           0 B           0 B          2772  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     104.034ms         1.48%     104.034ms     104.034ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      74.529ms         1.06%      74.529ms      26.618us           0 B           0 B           0 B           0 B          2800  
                                     record_param_comms         0.11%      10.659ms         0.13%      12.796ms     127.963us      46.822ms         0.67%      46.822ms     468.225us           0 B           0 B           0 B           0 B           100  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      46.822ms         0.67%      46.822ms     468.225us           0 B           0 B           0 B           0 B           100  
