-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       10.194s      1658.96%       10.194s     424.761ms           0 B           0 B           0 B           0 B            24  
                                               aten::mm         2.51%     262.391ms         3.24%     339.485ms      70.360us     473.126ms        76.99%     473.146ms      98.061us           0 B           0 B     170.13 MB     170.13 MB          4825  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     271.949ms        44.26%     271.949ms     177.050us           0 B           0 B           0 B           0 B          1536  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     221.871ms        36.11%     221.871ms      46.848us           0 B           0 B           0 B           0 B          4736  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     201.883ms        32.85%     201.883ms     201.883ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         1.14%     119.675ms         2.15%     225.030ms     140.644us      50.295ms         8.18%      50.295ms      31.435us           0 B           0 B      15.75 MB      15.75 MB          1600  
                               _C_custom_ar::all_reduce         0.85%      88.672ms         1.62%     169.230ms      52.474us      29.795ms         4.85%      29.795ms       9.239us           0 B           0 B           0 B           0 B          3225  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us      23.206ms         3.78%      23.206ms       7.196us           0 B           0 B           0 B           0 B          3225  
                                _vllm_fa2_C::varlen_fwd         2.03%     213.014ms         8.46%     885.219ms     553.262us      13.818ms         2.25%      16.318ms      10.199us           0 B           0 B     832.00 KB      -7.50 MB          1600  
