-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       30.946s       103.31%       30.946s     312.591ms           0 B           0 B           0 B           0 B            99  
                                       vllm::all_reduce         4.22%        1.318s         7.88%        2.460s     152.769us       27.197s        90.79%       27.206s       1.690ms           0 B           0 B     279.23 MB           0 B         16100  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       27.197s        90.79%       27.197s       1.689ms           0 B           0 B           0 B           0 B         16100  
                                               aten::mm         4.09%        1.277s         6.72%        2.096s      86.967us        2.113s         7.05%        2.113s      87.680us           0 B           0 B     536.14 MB     536.13 MB         24100  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.265s         4.22%        1.265s     154.706us           0 B           0 B           0 B           0 B          8180  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     625.880ms         2.09%     625.880ms      79.025us           0 B           0 B           0 B           0 B          7920  
                                            aten::addmm         1.93%     603.105ms         4.03%        1.257s     157.109us     282.662ms         0.94%     282.855ms      35.357us           0 B           0 B      43.36 MB      43.36 MB          8000  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     259.003ms         0.86%     259.003ms     259.003ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     234.645ms         0.78%     234.645ms      29.627us           0 B           0 B           0 B           0 B          7920  
