-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        6.022s       753.98%        6.022s      81.381ms           0 B           0 B           0 B           0 B            74  
                                               aten::mm         5.10%     317.011ms         6.88%     428.123ms      67.157us     646.632ms        80.96%     646.897ms     101.474us           0 B           0 B     228.69 MB     228.69 MB          6375  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     348.929ms        43.69%     348.929ms     168.402us           0 B           0 B           0 B           0 B          2072  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     285.762ms        35.78%     285.762ms      45.972us           0 B           0 B           0 B           0 B          6216  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      84.236ms        10.55%      84.236ms      84.236ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.31%     143.450ms         4.40%     273.575ms     130.274us      58.827ms         7.37%      58.827ms      28.013us           0 B           0 B      21.16 MB      21.16 MB          2100  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      52.045ms         6.52%      52.045ms     505.291us           0 B           0 B           0 B           0 B           103  
                                _vllm_fa2_C::varlen_fwd         4.21%     261.860ms        17.21%        1.071s     509.808us      17.738ms         2.22%      21.770ms      10.367us           0 B           0 B       1.05 MB     -14.16 MB          2100  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      17.444ms         2.18%      17.444ms       8.419us           0 B           0 B           0 B           0 B          2072  
