-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       35.341s        99.85%       35.341s     285.010ms           0 B           0 B           0 B           0 B           124  
                                       vllm::all_reduce         4.55%        1.618s         8.52%        3.033s     150.731us       31.941s        90.24%       31.958s       1.588ms           0 B           0 B     342.12 MB           0 B         20125  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       31.941s        90.24%       31.941s       1.587ms           0 B           0 B           0 B           0 B         20125  
                                               aten::mm         4.46%        1.588s         7.93%        2.823s      93.705us        2.641s         7.46%        2.641s      87.676us           0 B           0 B     657.10 MB     657.07 MB         30125  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.581s         4.47%        1.581s     154.943us           0 B           0 B           0 B           0 B         10205  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     783.941ms         2.21%     783.941ms      79.026us           0 B           0 B           0 B           0 B          9920  
                                            aten::addmm         2.13%     758.674ms         4.56%        1.623s     162.336us     353.214ms         1.00%     353.832ms      35.383us           0 B           0 B      53.12 MB      53.12 MB         10000  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     293.828ms         0.83%     293.828ms      29.620us           0 B           0 B           0 B           0 B          9920  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     260.887ms         0.74%     260.887ms      26.089us           0 B           0 B           0 B           0 B         10000  
