-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       12.764s       640.16%       12.764s     128.928ms           0 B           0 B           0 B           0 B            99  
                                               aten::mm         5.21%     676.591ms         6.85%     889.621ms      61.353us        1.549s        77.67%        1.549s     106.815us           0 B           0 B     414.04 MB     414.04 MB         14500  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     839.553ms        42.11%     839.553ms     176.674us           0 B           0 B           0 B           0 B          4752  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     605.507ms        30.37%     605.507ms      63.074us           0 B           0 B           0 B           0 B          9600  
                                            aten::addmm         2.38%     309.627ms         4.51%     586.560ms     122.200us     255.854ms        12.83%     255.908ms      53.314us           0 B           0 B      72.84 MB      72.84 MB          4800  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     241.668ms        12.12%     241.668ms      50.856us           0 B           0 B           0 B           0 B          4752  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     120.041ms         6.02%     120.041ms     120.041ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      90.048ms         4.52%      90.048ms     900.482us           0 B           0 B           0 B           0 B           100  
                                 _C::fused_add_rms_norm         1.70%     220.938ms         2.47%     320.755ms      33.412us      41.657ms         2.09%      41.661ms       4.340us           0 B           0 B           0 B           0 B          9600  
