-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       16.935s        99.57%       16.935s     228.855ms           0 B           0 B           0 B           0 B            74  
                               _C_custom_ar::all_reduce         1.47%     249.645ms         2.81%     476.228ms      49.223us       15.199s        89.36%       15.205s       1.572ms           0 B           0 B           0 B           0 B          9675  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us       15.178s        89.24%       15.178s       1.569ms           0 B           0 B           0 B           0 B          9675  
                                               aten::mm         4.35%     737.706ms         5.80%     983.047ms      67.913us        1.420s         8.35%        1.421s      98.140us           0 B           0 B     408.63 MB     408.56 MB         14475  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     838.234ms         4.93%     838.234ms     176.992us           0 B           0 B           0 B           0 B          4736  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     668.528ms         3.93%     668.528ms      46.633us           0 B           0 B           0 B           0 B         14336  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     196.659ms         1.16%     196.659ms     196.659ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.04%     345.711ms         7.81%        1.323s     275.587us     150.582ms         0.89%     151.211ms      31.502us           0 B           0 B      37.62 MB      37.62 MB          4800  
                                     record_param_comms         0.06%       9.915ms         0.07%      11.641ms     155.218us      53.931ms         0.32%      53.931ms     719.084us           0 B           0 B           0 B           0 B            75  
