-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       23.272s       111.49%       23.272s     235.066ms           0 B           0 B           0 B           0 B            99  
                                       vllm::all_reduce         4.52%        1.053s         8.48%        1.976s     153.143us       19.406s        92.97%       19.414s       1.505ms           0 B           0 B     139.83 MB           0 B         12900  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       19.406s        92.97%       19.406s       1.504ms           0 B           0 B           0 B           0 B         12900  
                                               aten::mm         4.48%        1.044s         6.61%        1.539s      79.720us        1.005s         4.81%        1.005s      52.078us           0 B           0 B     333.34 MB     333.34 MB         19300  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     580.721ms         2.78%     580.721ms      91.654us           0 B           0 B           0 B           0 B          6336  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     307.228ms         1.47%     307.228ms      47.529us           0 B           0 B           0 B           0 B          6464  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     202.556ms         0.97%     202.556ms     202.556ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.03%     472.895ms         4.00%     931.365ms     145.526us     161.659ms         0.77%     164.367ms      25.682us           0 B           0 B      24.28 MB      24.28 MB          6400  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     146.584ms         0.70%     146.584ms      23.135us           0 B           0 B           0 B           0 B          6336  
