-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       17.021s      1373.11%       17.021s     171.928ms           0 B           0 B           0 B           0 B            99  
                                               aten::mm         4.59%     800.211ms         5.97%        1.041s      71.814us     818.606ms        66.04%     818.976ms      56.481us           0 B           0 B     259.05 MB     259.00 MB         14500  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     467.452ms        37.71%     467.452ms      32.571us           0 B           0 B           0 B           0 B         14352  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     435.269ms        35.11%     435.269ms      91.597us           0 B           0 B           0 B           0 B          4752  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     165.530ms        13.35%     165.530ms     165.530ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.09%     364.610ms         3.94%     687.112ms     143.148us     151.152ms        12.19%     151.188ms      31.497us           0 B           0 B      36.42 MB      36.41 MB          4800  
                               _C_custom_ar::all_reduce         1.52%     265.456ms         2.92%     509.066ms      52.481us      85.723ms         6.92%      85.732ms       8.838us           0 B           0 B           0 B           0 B          9700  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us      66.104ms         5.33%      66.104ms       6.815us           0 B           0 B           0 B           0 B          9700  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      45.544ms         3.67%      45.544ms     455.442us           0 B           0 B           0 B           0 B           100  
