-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       19.488s      1310.88%       19.488s     165.150ms           0 B           0 B           0 B           0 B           118  
                                               aten::mm         4.57%     909.538ms         5.91%        1.177s      68.217us     973.814ms        65.51%     974.274ms      56.463us           0 B           0 B     303.66 MB     303.65 MB         17255  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     556.676ms        37.45%     556.676ms      32.577us           0 B           0 B           0 B           0 B         17088  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     518.191ms        34.86%     518.191ms      91.488us           0 B           0 B           0 B           0 B          5664  
                                            aten::addmm         2.09%     416.951ms         3.96%     789.546ms     138.226us     179.803ms        12.09%     179.835ms      31.484us           0 B           0 B      42.66 MB      42.65 MB          5712  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     157.893ms        10.62%     157.893ms     157.893ms           0 B           0 B           0 B           0 B             1  
                               _C_custom_ar::all_reduce         1.55%     309.631ms         2.98%     593.705ms      51.434us     113.405ms         7.63%     113.415ms       9.825us           0 B           0 B           0 B           0 B         11543  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us      89.799ms         6.04%      89.799ms       7.779us           0 B           0 B           0 B           0 B         11543  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      54.354ms         3.66%      54.354ms     456.755us           0 B           0 B           0 B           0 B           119  
