-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        3.279s       657.83%        3.279s     136.638ms           0 B           0 B           0 B           0 B            24  
                                               aten::mm         5.22%     179.793ms         6.88%     237.056ms      65.395us     387.114ms        77.65%     387.204ms     106.815us           0 B           0 B     132.13 MB     132.13 MB          3625  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     203.481ms        40.82%     203.481ms     176.633us           0 B           0 B           0 B           0 B          1152  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     151.569ms        30.40%     151.569ms      63.154us           0 B           0 B           0 B           0 B          2400  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     127.300ms        25.54%     127.300ms     127.300ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.38%      81.784ms         4.50%     155.079ms     129.233us      64.051ms        12.85%      64.051ms      53.376us           0 B           0 B      23.62 MB      23.62 MB          1200  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      58.562ms        11.75%      58.562ms      50.835us           0 B           0 B           0 B           0 B          1152  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      22.500ms         4.51%      22.500ms     900.005us           0 B           0 B           0 B           0 B            25  
                                 _C::fused_add_rms_norm         1.73%      59.647ms         2.51%      86.433ms      36.014us      10.406ms         2.09%      10.406ms       4.336us           0 B           0 B           0 B           0 B          2400  
