-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        6.907s        97.92%        6.907s     287.812ms           0 B           0 B           0 B           0 B            24  
                                       vllm::all_reduce         4.83%     338.477ms         8.95%     626.590ms     155.675us        6.356s        90.11%        6.357s       1.579ms           0 B           0 B      90.56 MB           0 B          4025  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        6.356s        90.11%        6.356s       1.579ms           0 B           0 B           0 B           0 B          4025  
                                               aten::mm         4.68%     327.789ms         6.04%     422.965ms      70.202us     529.176ms         7.50%     529.357ms      87.860us           0 B           0 B     173.26 MB     173.26 MB          6025  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     318.264ms         4.51%     318.264ms     151.194us           0 B           0 B           0 B           0 B          2105  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     251.459ms         3.56%     251.459ms     251.459ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     151.703ms         2.15%     151.703ms      79.012us           0 B           0 B           0 B           0 B          1920  
                                            aten::addmm         2.20%     153.869ms         4.21%     294.514ms     147.257us      70.855ms         1.00%      70.855ms      35.428us           0 B           0 B      14.06 MB      14.06 MB          2000  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      56.838ms         0.81%      56.838ms      29.603us           0 B           0 B           0 B           0 B          1920  
