-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.529s        99.17%        2.529s     105.367ms           0 B           0 B           0 B           0 B            24  
                                       vllm::all_reduce         4.28%     117.980ms         7.92%     218.015ms     152.993us        2.422s        94.99%        2.422s       1.700ms           0 B           0 B      14.03 MB           0 B          1425  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        2.422s        94.99%        2.422s       1.700ms           0 B           0 B           0 B           0 B          1425  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     108.816ms         4.27%     108.816ms     108.816ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         3.77%     103.904ms         4.89%     134.691ms      63.384us      62.661ms         2.46%      65.185ms      30.675us           0 B           0 B      33.81 MB      33.80 MB          2125  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      31.727ms         1.24%      31.727ms      47.212us           0 B           0 B           0 B           0 B           672  
                                     record_param_comms         0.11%       2.909ms         0.13%       3.456ms     138.259us      27.560ms         1.08%      27.560ms       1.102ms           0 B           0 B           0 B           0 B            25  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      27.560ms         1.08%      27.560ms       1.102ms           0 B           0 B           0 B           0 B            25  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      27.560ms         1.08%      27.560ms       1.102ms           0 B           0 B           0 B           0 B            25  
