-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.459s      1920.18%        2.459s     102.453ms           0 B           0 B           0 B           0 B            24  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     119.071ms        92.99%     119.071ms     119.071ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         4.09%     108.813ms         5.31%     141.320ms      66.504us      62.779ms        49.03%      62.850ms      29.577us           0 B           0 B      33.81 MB      33.81 MB          2125  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      31.836ms        24.86%      31.836ms      47.376us           0 B           0 B           0 B           0 B           672  
                                       vllm::all_reduce         4.63%     123.165ms         8.51%     226.418ms     158.890us      27.433ms        21.42%      27.442ms      19.257us           0 B           0 B      14.03 MB           0 B          1425  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      27.433ms        21.42%      27.433ms      19.251us           0 B           0 B           0 B           0 B          1425  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      18.276ms        14.27%      18.276ms      26.108us           0 B           0 B           0 B           0 B           700  
                                            aten::addmm         1.99%      52.854ms         4.14%     110.113ms     157.305us       8.938ms         6.98%       8.963ms      12.805us           0 B           0 B       2.38 MB       2.38 MB           700  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       7.352ms         5.74%       7.352ms      10.502us           0 B           0 B           0 B           0 B           700  
