-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       25.638s       100.09%       25.638s     172.065ms           0 B           0 B           0 B           0 B           149  
                                       vllm::all_reduce         4.82%        1.201s         9.01%        2.244s     154.230us       24.417s        95.32%       24.422s       1.678ms           0 B           0 B     152.51 MB           0 B         14550  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       24.417s        95.32%       24.417s       1.678ms           0 B           0 B           0 B           0 B         14550  
                                               aten::mm         4.59%        1.142s         5.90%        1.470s      67.585us     644.932ms         2.52%     645.134ms      29.661us           0 B           0 B     263.73 MB     263.71 MB         21750  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     415.869ms         1.62%     415.869ms      29.074us           0 B           0 B           0 B           0 B         14304  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     191.301ms         0.75%     191.301ms      26.394us           0 B           0 B           0 B           0 B          7248  
                                            aten::addmm         2.11%     526.816ms         4.11%        1.025s     142.348us     181.767ms         0.71%     181.872ms      25.260us           0 B           0 B      26.41 MB      26.41 MB          7200  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     165.659ms         0.65%     165.659ms      23.163us           0 B           0 B           0 B           0 B          7152  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     155.692ms         0.61%     155.692ms     155.692ms           0 B           0 B           0 B           0 B             1  
