-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       13.623s        99.71%       13.623s     184.092ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.46%     599.797ms         8.32%        1.119s     153.827us       13.063s        95.61%       13.066s       1.796ms           0 B           0 B      81.46 MB           0 B          7275  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       13.063s        95.61%       13.063s       1.796ms           0 B           0 B           0 B           0 B          7275  
                                               aten::mm         4.34%     583.547ms         5.57%     749.738ms      68.941us     322.706ms         2.36%     322.762ms      29.679us           0 B           0 B     140.50 MB     140.50 MB         10875  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     206.663ms         1.51%     206.663ms      29.091us           0 B           0 B           0 B           0 B          7104  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     153.673ms         1.12%     153.673ms     153.673ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      95.993ms         0.70%      95.993ms      26.314us           0 B           0 B           0 B           0 B          3648  
                                            aten::addmm         1.95%     263.091ms         3.88%     522.133ms     145.037us      90.835ms         0.66%      90.885ms      25.246us           0 B           0 B      14.11 MB      14.11 MB          3600  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      82.283ms         0.60%      82.283ms      23.165us           0 B           0 B           0 B           0 B          3552  
