-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       13.452s       701.25%       13.452s     181.788ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.48%     616.288ms         8.31%        1.144s     157.195us        1.366s        71.21%        1.366s     187.792us           0 B           0 B      81.46 MB           0 B          7275  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.366s        71.21%        1.366s     187.783us           0 B           0 B           0 B           0 B          7275  
## Call CompiledFxGraph fkb6uvuzqydmaiiprmw6vvh7frqp...         0.00%       0.000us         0.00%       0.000us       0.000us        1.086s        56.62%        1.086s      14.678ms           0 B           0 B           0 B           0 B            74  
                                               aten::mm         4.34%     596.701ms         5.57%     766.284ms      70.463us     323.111ms        16.84%     323.149ms      29.715us           0 B           0 B     140.50 MB     140.50 MB         10875  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     206.753ms        10.78%     206.753ms      29.104us           0 B           0 B           0 B           0 B          7104  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     159.342ms         8.31%     159.342ms     159.342ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      96.066ms         5.01%      96.066ms      26.334us           0 B           0 B           0 B           0 B          3648  
                                            aten::addmm         1.98%     271.723ms         3.84%     527.960ms     146.655us      90.704ms         4.73%      90.781ms      25.217us           0 B           0 B      14.11 MB      14.11 MB          3600  
