-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       13.623s        99.60%       13.623s     184.088ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.44%     612.737ms         8.27%        1.141s     156.831us       13.079s        95.63%       13.082s       1.798ms           0 B           0 B      81.46 MB           0 B          7275  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       13.079s        95.63%       13.079s       1.798ms           0 B           0 B           0 B           0 B          7275  
                                               aten::mm         4.29%     591.367ms         5.55%     765.337ms      70.376us     321.691ms         2.35%     322.568ms      29.661us           0 B           0 B     140.50 MB     140.48 MB         10875  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     205.853ms         1.51%     205.853ms      28.977us           0 B           0 B           0 B           0 B          7104  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     154.571ms         1.13%     154.571ms     154.571ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      95.838ms         0.70%      95.838ms      26.271us           0 B           0 B           0 B           0 B          3648  
                                            aten::addmm         1.95%     268.410ms         3.87%     534.334ms     148.426us      91.030ms         0.67%      91.089ms      25.303us           0 B           0 B      14.11 MB      14.11 MB          3600  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      82.407ms         0.60%      82.407ms      23.200us           0 B           0 B           0 B           0 B          3552  
