-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       19.033s        99.69%       19.033s     257.209ms           0 B           0 B           0 B           0 B            74  
                                       vllm::all_reduce         4.20%     799.977ms         7.84%        1.493s     154.326us       17.992s        94.24%       18.002s       1.861ms           0 B           0 B     108.34 MB           0 B          9675  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       17.992s        94.24%       17.992s       1.860ms           0 B           0 B           0 B           0 B          9675  
                                               aten::mm         4.08%     778.036ms         5.66%        1.079s      74.524us     753.929ms         3.95%     754.489ms      52.124us           0 B           0 B     258.08 MB     258.08 MB         14475  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     434.088ms         2.27%     434.088ms      91.657us           0 B           0 B           0 B           0 B          4736  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     230.708ms         1.21%     230.708ms      47.432us           0 B           0 B           0 B           0 B          4864  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     205.908ms         1.08%     205.908ms     205.908ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         1.84%     350.585ms         3.65%     695.898ms     144.979us     121.228ms         0.63%     121.277ms      25.266us           0 B           0 B      18.81 MB      18.81 MB          4800  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     109.578ms         0.57%     109.578ms      23.137us           0 B           0 B           0 B           0 B          4736  
