-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        8.523s        99.36%        8.523s     173.939ms           0 B           0 B           0 B           0 B            49  
                               _C_custom_ar::all_reduce         1.55%     126.233ms         2.93%     239.513ms      49.384us        7.964s        92.85%        7.971s       1.644ms           0 B           0 B           0 B           0 B          4850  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us        7.954s        92.73%        7.954s       1.640ms           0 B           0 B           0 B           0 B          4850  
                                               aten::mm         4.57%     373.072ms         5.94%     484.990ms      66.895us     410.166ms         4.78%     416.831ms      57.494us           0 B           0 B     141.64 MB     141.64 MB          7250  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     233.044ms         2.72%     233.044ms      32.584us           0 B           0 B           0 B           0 B          7152  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     215.116ms         2.51%     215.116ms      91.461us           0 B           0 B           0 B           0 B          2352  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     158.516ms         1.85%     158.516ms     158.516ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.07%     168.844ms         3.91%     318.812ms     132.839us      75.565ms         0.88%      78.127ms      32.553us           0 B           0 B      20.02 MB      20.01 MB          2400  
                                     record_param_comms         0.07%       5.946ms         0.09%       7.049ms     140.972us      34.952ms         0.41%      34.952ms     699.040us           0 B           0 B           0 B           0 B            50  
