-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       20.674s      2073.35%       20.674s     421.917ms           0 B           0 B           0 B           0 B            49  
                                               aten::mm         1.69%     353.478ms         2.25%     469.297ms      64.731us     774.337ms        77.66%     774.428ms     106.818us           0 B           0 B     226.10 MB     226.10 MB          7250  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     415.482ms        41.67%     415.482ms     176.651us           0 B           0 B           0 B           0 B          2352  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     302.896ms        30.38%     302.896ms      63.103us           0 B           0 B           0 B           0 B          4800  
                                            aten::addmm         0.78%     161.874ms         1.48%     307.976ms     128.324us     128.015ms        12.84%     128.015ms      53.340us           0 B           0 B      40.03 MB      40.03 MB          2400  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     123.291ms        12.36%     123.291ms     123.291ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     119.632ms        12.00%     119.632ms      50.864us           0 B           0 B           0 B           0 B          2352  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      45.029ms         4.52%      45.029ms     900.590us           0 B           0 B           0 B           0 B            50  
                                 _C::fused_add_rms_norm         0.55%     113.956ms         0.81%     168.749ms      35.156us      20.839ms         2.09%      20.847ms       4.343us           0 B           0 B           0 B           0 B          4800  
