-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       27.557s       348.09%       27.557s     222.231ms           0 B           0 B           0 B           0 B           124  
                               _C_custom_ar::all_reduce         1.57%     440.141ms         3.01%     843.881ms      52.334us        4.972s        62.81%        4.972s     308.351us           0 B           0 B           0 B           0 B         16125  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us        4.939s        62.39%        4.939s     306.310us           0 B           0 B           0 B           0 B         16125  
                                               aten::mm         4.60%        1.288s         5.93%        1.660s      68.826us        2.366s        29.89%        2.367s      98.110us           0 B           0 B     647.13 MB     647.12 MB         24125  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us        1.405s        17.75%        1.405s     177.085us           0 B           0 B           0 B           0 B          7936  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.116s        14.10%        1.116s      46.622us           0 B           0 B           0 B           0 B         23936  
                                            aten::addmm         2.12%     593.813ms         4.03%        1.130s     141.221us     251.142ms         3.17%     251.415ms      31.427us           0 B           0 B      59.50 MB      59.49 MB          8000  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     204.681ms         2.59%     204.681ms     204.681ms           0 B           0 B           0 B           0 B             1  
                                _vllm_fa2_C::varlen_fwd         3.84%        1.076s        16.01%        4.486s     560.751us      71.218ms         0.90%      84.159ms      10.520us           0 B           0 B       3.94 MB     -49.00 MB          8000  
