-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       27.727s       123.41%       27.727s     223.602ms           0 B           0 B           0 B           0 B           124  
                               _C_custom_ar::all_reduce         1.51%     419.809ms         3.22%     896.760ms      55.613us       19.480s        86.70%       19.483s       1.208ms           0 B           0 B           0 B           0 B         16125  
void vllm::cross_device_reduce_1stage<__nv_bfloat16,...         0.00%       0.000us         0.00%       0.000us       0.000us       19.446s        86.55%       19.446s       1.206ms           0 B           0 B           0 B           0 B         16125  
                                               aten::mm         4.42%        1.229s         5.81%        1.617s      67.038us        2.367s        10.54%        2.367s      98.132us           0 B           0 B     647.13 MB     647.06 MB         24125  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us        1.405s         6.25%        1.405s     177.008us           0 B           0 B           0 B           0 B          7936  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.116s         4.97%        1.116s      46.607us           0 B           0 B           0 B           0 B         23936  
                                            aten::addmm         2.05%     569.347ms         5.72%        1.592s     199.052us     250.937ms         1.12%     250.937ms      31.367us           0 B           0 B      59.50 MB      59.49 MB          8000  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     205.325ms         0.91%     205.325ms     205.325ms           0 B           0 B           0 B           0 B             1  
                                _vllm_fa2_C::varlen_fwd         3.71%        1.032s        15.54%        4.325s     540.641us      71.056ms         0.32%      86.564ms      10.821us           0 B           0 B       3.94 MB     -48.99 MB          8000  
