-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       21.052s       102.93%       21.052s     169.776ms           0 B           0 B           0 B           0 B           124  
                                       vllm::all_reduce         4.80%     999.466ms         8.97%        1.868s     154.085us       19.469s        95.19%       19.476s       1.606ms           0 B           0 B     128.83 MB           0 B         12125  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       19.469s        95.19%       19.469s       1.606ms           0 B           0 B           0 B           0 B         12125  
                                               aten::mm         4.66%     969.885ms         5.99%        1.246s      68.761us     535.666ms         2.62%     538.188ms      29.693us           0 B           0 B     222.66 MB     222.65 MB         18125  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     344.748ms         1.69%     344.748ms      28.961us           0 B           0 B           0 B           0 B         11904  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     168.531ms         0.82%     168.531ms     168.531ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     159.151ms         0.78%     159.151ms      26.315us           0 B           0 B           0 B           0 B          6048  
                                            aten::addmm         2.13%     443.616ms         4.11%     856.482ms     142.747us     151.616ms         0.74%     151.681ms      25.280us           0 B           0 B      22.31 MB      22.31 MB          6000  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     137.919ms         0.67%     137.919ms      23.172us           0 B           0 B           0 B           0 B          5952  
