-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        3.997s       750.43%        3.997s      81.575ms           0 B           0 B           0 B           0 B            49  
                                               aten::mm         5.07%     211.612ms         6.89%     287.437ms      67.632us     431.193ms        80.95%     431.460ms     101.520us           0 B           0 B     161.28 MB     161.28 MB          4250  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     231.074ms        43.38%     231.074ms     168.421us           0 B           0 B           0 B           0 B          1372  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     189.237ms        35.53%     189.237ms      45.976us           0 B           0 B           0 B           0 B          4116  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      87.773ms        16.48%      87.773ms      87.773ms           0 B           0 B           0 B           0 B             1  
                                            aten::addmm         2.30%      96.004ms         4.36%     181.837ms     129.883us      39.216ms         7.36%      39.216ms      28.012us           0 B           0 B      15.01 MB      15.01 MB          1400  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      36.177ms         6.79%      36.177ms     463.811us           0 B           0 B           0 B           0 B            78  
                                _vllm_fa2_C::varlen_fwd         4.14%     172.813ms        17.06%     711.627ms     508.305us      11.891ms         2.23%      14.574ms      10.410us           0 B           0 B     728.00 KB      -9.38 MB          1400  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      11.597ms         2.18%      11.597ms       8.452us           0 B           0 B           0 B           0 B          1372  
