-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        8.332s       112.82%        8.332s     170.045ms           0 B           0 B           0 B           0 B            49  
                                       vllm::all_reduce         4.88%     414.043ms         9.04%     766.633ms     158.069us        6.996s        94.72%        7.001s       1.444ms           0 B           0 B      57.78 MB           0 B          4850  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        6.996s        94.72%        6.996s       1.442ms           0 B           0 B           0 B           0 B          4850  
                                               aten::mm         4.52%     383.595ms         5.87%     497.445ms      68.613us     214.384ms         2.90%     214.410ms      29.574us           0 B           0 B      99.43 MB      99.43 MB          7250  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     157.988ms         2.14%     157.988ms     157.988ms           0 B           0 B           0 B           0 B             1  
void cutlass::Kernel<cutlass_80_tensorop_bf16_s16816...         0.00%       0.000us         0.00%       0.000us       0.000us     136.212ms         1.84%     136.212ms      28.957us           0 B           0 B           0 B           0 B          4704  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      64.086ms         0.87%      64.086ms      26.179us           0 B           0 B           0 B           0 B          2448  
                                            aten::addmm         2.08%     176.643ms         4.13%     350.145ms     145.894us      60.577ms         0.82%      60.677ms      25.282us           0 B           0 B      10.01 MB      10.01 MB          2400  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      54.489ms         0.74%      54.489ms      23.167us           0 B           0 B           0 B           0 B          2352  
