-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        4.921s       103.23%        4.921s     100.419ms           0 B           0 B           0 B           0 B            49  
                                       vllm::all_reduce         4.80%     235.003ms         8.87%     433.706ms     152.177us        4.533s        95.10%        4.535s       1.591ms           0 B           0 B      23.77 MB           0 B          2850  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        4.533s        95.10%        4.533s       1.590ms           0 B           0 B           0 B           0 B          2850  
                                               aten::mm         4.34%     212.243ms         5.53%     270.599ms      63.670us     125.121ms         2.62%     125.192ms      29.457us           0 B           0 B      57.85 MB      57.85 MB          4250  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     102.912ms         2.16%     102.912ms     102.912ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us      64.997ms         1.36%      64.997ms      47.374us           0 B           0 B           0 B           0 B          1372  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us      37.005ms         0.78%      37.005ms      26.432us           0 B           0 B           0 B           0 B          1400  
                                     record_param_comms         0.11%       5.409ms         0.13%       6.457ms     129.139us      33.739ms         0.71%      33.739ms     674.790us           0 B           0 B           0 B           0 B            50  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      33.739ms         0.71%      33.739ms     674.790us           0 B           0 B           0 B           0 B            50  
